 Red 877 Blue 65
 Red 865 Blue 95
 Red 637 Blue 1077
Blue Red 4048 Blue 8323
Blue Red 2479 Blue 8098
Blue Red 2272 Blue 9851
Blue Red 359 Blue 6444
Blue Red 1020 Blue 9126
Blue Red 1865 Blue 4797
Blue Red 2817 Blue 10829
Blue Red 1475 Blue 5577
Red Red 4215 Blue 3269
Blue Red 1229 Blue 6050
Blue Red 1605 Blue 10071
Blue Red 1912 Blue 6074
Blue Red 3018 Blue 6612
Red Red 5719 Blue 1618
Blue Red 821 Blue 6476
Blue Red 2112 Blue 4828
Red Red 4451 Blue 2328
Blue Red 2087 Blue 9952
Blue Red 3013 Blue 8798
Blue Red 1592 Blue 8473
Blue Red 2691 Blue 6779
Blue Red 1461 Blue 9763
Blue Red 2372 Blue 12294
Red Red 5332 Blue 3177
Blue Red 2597 Blue 8587
Blue Red 2669 Blue 10348
Blue Red 2091 Blue 3683
Blue Red 1223 Blue 12544
Blue Red 1525 Blue 6804
Red Red 4750 Blue 6100
